ticker,date,priceInCAD,priceInUSD
BCH,2017-08-01,455.65849144000000,363.57800000000000
BCH,2017-08-02,604.40518600000000,480.75500000000000
BCH,2017-08-03,471.20978224000000,374.87900000000000
BCH,2017-08-04,312.30607295000000,246.85300000000000
BCH,2017-08-05,277.04887275000000,218.98500000000000
BCH,2017-08-06,307.95563814000000,243.71600000000000
BCH,2017-08-07,401.76293999000000,316.83700000000000
BCH,2017-08-08,419.10199220000000,330.79600000000000
BCH,2017-08-09,378.45189400000000,298.10300000000000
BCH,2017-08-10,370.36273090000000,290.63900000000000
BCH,2017-08-11,424.39802021000000,334.72700000000000
BCH,2017-08-12,389.11463033000000,306.91800000000000
BCH,2017-08-13,405.32294378000000,319.67700000000000
BCH,2017-08-14,382.42755196000000,300.53600000000000
BCH,2017-08-15,371.04733951000000,290.83800000000000
BCH,2017-08-16,376.51227376000000,298.16000000000000
BCH,2017-08-17,642.74363328000000,507.84000000000000
BCH,2017-08-18,897.45480835000000,713.14300000000000
BCH,2017-08-19,1001.92554759000000,796.03000000000000
BCH,2017-08-20,848.98047557000000,674.31100000000000
BCH,2017-08-21,810.54017003000000,645.35200000000000
BCH,2017-08-22,861.56055259000000,684.28600000000000
BCH,2017-08-23,828.67267081000000,660.84300000000000
BCH,2017-08-24,802.90475602000000,641.81600000000000
BCH,2017-08-25,793.51524725000000,635.85500000000000
BCH,2017-08-26,758.31767610000000,607.60200000000000
BCH,2017-08-27,762.11490914000000,611.02200000000000
BCH,2017-08-28,740.00278398000000,591.89900000000000
BCH,2017-08-29,672.15054241000000,537.20300000000000
BCH,2017-08-30,730.92004736000000,577.90200000000000
BCH,2017-08-31,731.93284096000000,586.73100000000000
BCH,2017-09-01,737.29051505000000,594.75700000000000
BCH,2017-09-02,731.08926752000000,589.76600000000000
BCH,2017-09-03,730.03447667000000,589.13800000000000
BCH,2017-09-04,602.85557111000000,486.20600000000000
BCH,2017-09-05,691.87267906000000,558.16800000000000
BCH,2017-09-06,762.93383727000000,624.32700000000000
BCH,2017-09-07,819.95182980000000,679.49200000000000
BCH,2017-09-08,702.00696992000000,577.28700000000000
BCH,2017-09-09,596.45651941000000,490.64500000000000
BCH,2017-09-10,656.50685441000000,540.84900000000000
BCH,2017-09-11,674.80168568000000,557.08100000000000
BCH,2017-09-12,606.75141548000000,498.68900000000000
BCH,2017-09-13,574.58458941000000,471.61500000000000
BCH,2017-09-14,458.34591054000000,376.74300000000000
BCH,2017-09-15,515.81161970000000,422.89000000000000
BCH,2017-09-16,502.17503830000000,411.71000000000000
BCH,2017-09-17,541.97064108000000,444.80700000000000
BCH,2017-09-18,572.94218800000000,465.71200000000000
BCH,2017-09-19,625.13853000000000,509.00000000000000
BCH,2017-09-20,581.02445243000000,470.96700000000000
BCH,2017-09-21,533.14233711000000,432.93200000000000
BCH,2017-09-22,515.80380398000000,418.19500000000000
BCH,2017-09-23,522.73800689000000,423.81700000000000
BCH,2017-09-24,524.42165616000000,425.28100000000000
BCH,2017-09-25,556.01563818000000,449.48100000000000
BCH,2017-09-26,547.63383186000000,442.86700000000000
BCH,2017-09-27,577.44184455000000,461.77800000000000
BCH,2017-09-28,534.76262598000000,429.97200000000000
BCH,2017-09-29,554.64194500000000,444.52900000000000
BCH,2017-09-30,533.98865103000000,427.97600000000000
BCH,2017-10-01,520.07652141000000,416.39900000000000
BCH,2017-10-02,514.43783683000000,410.46500000000000
BCH,2017-10-03,498.58327923000000,399.82300000000000
BCH,2017-10-04,440.85128675000000,353.31700000000000
BCH,2017-10-05,463.48056315000000,368.34600000000000
BCH,2017-10-06,453.25706680000000,361.84000000000000
BCH,2017-10-07,451.86484702000000,360.72800000000000
BCH,2017-10-08,415.87894335000000,331.63000000000000
